Event,Time,Date,Party,Agenda,Location
dentist appointment,10am,the 8th,aunt,-,-
taking medicine,5pm,saturday,Marie,-,-
football activity,4pm,monday,Alex,-,-
yoga activity,4pm,the 4th,Marie,-,-
lab appointment,5pm,the 13th,father,-,-
dinner,7pm,the 8th,Jon,-,-
dinner,6pm,the 7th,Marie,-,-
meeting,1pm,the 15th,management,sign the NDA,conference room 50
football activity,9am,the 10th,Marie,-,-
doctor appointment,3pm,the 7th,Jeff,-,-
lab appointment,2pm,friday,Martha,-,-
football activity,10am,the 5th,Jon,-,-
football activity,3pm,the 16th,Alex,-,-
football activity,2pm,monday,father,-,-
yoga activity,11am,the 5th,brother,-,-
dentist appointment,4pm,friday,Tom,-,-
football activity,11am,the 4th,Ana,-,-
taking medicine,3pm,the 3rd,Jeff,-,-
lab appointment,11am,the 10th,mother,-,-
dinner,7pm,friday,Marie,-,-
yoga activity,2pm,the 13th,father,-,-
yoga activity,10am,the 3rd,Jon,-,-
dentist appointment,3pm,the 2nd,sister,-,-
dentist appointment,2pm,the 6th,sister,-,-
dinner,5pm,the 9th,Alex,-,-
football activity,9am,the 16th,Jon,-,-
lab appointment,7pm,tuesday,sister,-,-
lab appointment,3pm,the 18th,sister,-,-
lab appointment,6pm,the 3rd,Tom,-,-
taking medicine,4pm,friday,brother,-,-
swimming activity,1 pm,monday,-,-,-
football activity,11 am,thursday,-,-,-
lab appointment,11 am,friday,-,-,-
medicine,1 pm,friday,-,-,-
meeting,7 pm,monday,sales team,discuss the company picnic,conference room 50
conference,10 am,monday,executive team,discuss the company picnic,conference room 102
yoga activity,1pm,friday,Martha,-,-
tennis activity,9am,friday,sister,-,-
football activity,1pm,sunday,mother,-,-
dinner,6pm,sunday,Tom,-,-
football activity,2pm,monday,Tom,-,-
lab appointment,5pm,wednesday,Ana,-,-
tennis activity,4pm,the 8th,father,-,-
football activity,1pm,monday,father,-,-
dentist appointment,1 pm,friday,-,-,-
swimming activity,7 pm,friday,-,-,-
dinner,5 pm,monday,-,-,-
optometrist appointment,11 am,wednesday,-,-,-
conference,10 am,wednesday,executive team,discuss the company picnic,conference room 50
doctor appointment,2 pm,tuesday,-,-,-
yoga activity,6pm,the 8th,Marie,-,-
tennis activity,6pm,the 11th,Tom,-,-
dentist appointment,7pm,the 18th,aunt,-,-
swimming activity,4pm,the 1st,Marie,-,-
doctor appointment,6pm,wednesday,sister,-,-
optometrist appointment,4pm,the 16th,Ana,-,-
doctor appointment,9am,thursday,aunt,-,-
swimming activity,4pm,the 15th,Jon,-,-
meeting,10am,saturday,HR,discuss dress code,conference room 50
lab appointment,3pm,the 20th,Alex,-,-
conference,11am,the 13th,sales team,sign the NDA,100 conference room
doctor appointment,2pm,the 7th,Ana,-,-
dinner,7pm,the 14th,mother,-,-
